WKT,ID,Year
"POINT (584909.687979009 4513409.40046367)",72,2013
"POINT (584909.687979009 4513409.40046367)",72,2014
"POINT (584909.687979009 4513409.40046367)",72,2015
"POINT (584909.687979009 4513409.40046367)",72,2016
"POINT (584909.687979009 4513409.40046367)",72,2017
"POINT (584909.687979009 4513409.40046367)",72,2018
"POINT (583895.136311356 4508051.42503479)",79,2013
"POINT (583895.136311356 4508051.42503479)",79,2014
"POINT (583895.136311356 4508051.42503479)",79,2015
"POINT (583895.136311356 4508051.42503479)",79,2016
"POINT (583895.136311356 4508051.42503479)",79,2017
"POINT (583895.136311356 4508051.42503479)",79,2018
"POINT (584454.256402746 4507176.1131026)",82,2013
"POINT (584454.256402746 4507176.1131026)",82,2014
"POINT (584454.256402746 4507176.1131026)",82,2015
"POINT (584454.256402746 4507176.1131026)",82,2016
"POINT (584454.256402746 4507176.1131026)",82,2017
"POINT (584454.256402746 4507176.1131026)",82,2018
"POINT (586503.565850647 4504163.49682377)",83,2013
"POINT (586503.565850647 4504163.49682377)",83,2014
"POINT (586503.565850647 4504163.49682377)",83,2015
"POINT (586503.565850647 4504163.49682377)",83,2016
"POINT (586503.565850647 4504163.49682377)",83,2017
"POINT (586503.565850647 4504163.49682377)",83,2018
"POINT (584303.113058993 4510571.84722544)",116,2013
"POINT (584303.113058993 4510571.84722544)",116,2014
"POINT (584303.113058993 4510571.84722544)",116,2015
"POINT (584303.113058993 4510571.84722544)",116,2016
"POINT (584303.113058993 4510571.84722544)",116,2017
"POINT (586343.157963483 4505523.12411483)",119,2013
"POINT (586343.157963483 4505523.12411483)",119,2014
"POINT (586343.157963483 4505523.12411483)",119,2015
"POINT (586343.157963483 4505523.12411483)",119,2016
"POINT (586343.157963483 4505523.12411483)",119,2017
"POINT (586343.157963483 4505523.12411483)",119,2018
"POINT (587939.785587084 4504506.97886602)",120,2013
"POINT (587939.785587084 4504506.97886602)",120,2014
"POINT (587939.785587084 4504506.97886602)",120,2015
"POINT (587939.785587084 4504506.97886602)",120,2016
"POINT (587939.785587084 4504506.97886602)",120,2017
"POINT (587939.785587084 4504506.97886602)",120,2018
"POINT (583872.73740418 4509451.00760544)",127,2013
"POINT (583872.73740418 4509451.00760544)",127,2014
"POINT (583872.73740418 4509451.00760544)",127,2015
"POINT (583872.73740418 4509451.00760544)",127,2016
"POINT (583872.73740418 4509451.00760544)",127,2017
"POINT (583872.73740418 4509451.00760544)",127,2018
"POINT (584197.209129403 4508941.57917002)",128,2013
"POINT (584197.209129403 4508941.57917002)",128,2014
"POINT (584197.209129403 4508941.57917002)",128,2015
"POINT (584197.209129403 4508941.57917002)",128,2016
"POINT (584197.209129403 4508941.57917002)",128,2017
"POINT (584197.209129403 4508941.57917002)",128,2018
"POINT (586689.80555513 4512803.39685385)",137,2013
"POINT (586689.80555513 4512803.39685385)",137,2014
"POINT (586689.80555513 4512803.39685385)",137,2015
"POINT (586689.80555513 4512803.39685385)",137,2016
"POINT (585051.38296856 4505098.05717554)",143,2013
"POINT (585051.38296856 4505098.05717554)",143,2014
"POINT (585051.38296856 4505098.05717554)",143,2015
"POINT (585051.38296856 4505098.05717554)",143,2016
"POINT (585051.38296856 4505098.05717554)",143,2017
"POINT (585051.38296856 4505098.05717554)",143,2018
"POINT (586115.867020347 4505776.89185552)",144,2013
"POINT (586115.867020347 4505776.89185552)",144,2014
"POINT (586115.867020347 4505776.89185552)",144,2015
"POINT (586115.867020347 4505776.89185552)",144,2016
"POINT (586115.867020347 4505776.89185552)",144,2017
"POINT (586115.867020347 4505776.89185552)",144,2018
"POINT (583692.704061 4507731.01501893)",146,2013
"POINT (583692.704061 4507731.01501893)",146,2014
"POINT (583692.704061 4507731.01501893)",146,2015
"POINT (583692.704061 4507731.01501893)",146,2016
"POINT (583692.704061 4507731.01501893)",146,2017
"POINT (583692.704061 4507731.01501893)",146,2018
"POINT (583515.194186448 4507637.07714889)",147,2013
"POINT (583515.194186448 4507637.07714889)",147,2014
"POINT (583515.194186448 4507637.07714889)",147,2015
"POINT (583515.194186448 4507637.07714889)",147,2016
"POINT (586072.658368692 4508271.55949703)",150,2013
"POINT (586072.658368692 4508271.55949703)",150,2014
"POINT (586072.658368692 4508271.55949703)",150,2015
"POINT (586072.658368692 4508271.55949703)",150,2016
"POINT (586072.658368692 4508271.55949703)",150,2017
"POINT (586072.658368692 4508271.55949703)",150,2018
"POINT (584686.754442827 4508392.18196)",151,2013
"POINT (584690.999163407 4508360.25781524)",151,2014
"POINT (584690.999163407 4508360.25781524)",151,2015
"POINT (584686.754442827 4508392.18196)",151,2016
"POINT (584686.754442827 4508392.18196)",151,2017
"POINT (584686.754442827 4508392.18196)",151,2018
"POINT (583694.564134795 4507563.37819635)",152,2013
"POINT (583694.564134795 4507563.37819635)",152,2014
"POINT (583694.564134795 4507563.37819635)",152,2015
"POINT (583694.564134795 4507563.37819635)",152,2016
"POINT (583694.564134795 4507563.37819635)",152,2017
"POINT (585967.088497188 4511732.96661146)",153,2013
"POINT (585967.088497188 4511732.96661146)",153,2014
"POINT (585967.088856322 4511732.9669487)",153,2015
"POINT (585967.088497188 4511732.96661146)",153,2016
"POINT (585967.088497188 4511732.96661146)",153,2017
"POINT (584821.404819521 4504928.63983478)",157,2013
"POINT (584821.404819521 4504928.63983478)",157,2014
"POINT (584821.404819521 4504928.63983478)",157,2015
"POINT (584821.404819521 4504928.63983478)",157,2016
"POINT (584821.404819521 4504928.63983478)",157,2017
"POINT (584821.404819521 4504928.63983478)",157,2018
"POINT (586239.771978987 4511302.6704639)",160,2013
"POINT (586252.416452017 4511311.69942875)",160,2014
"POINT (586252.416452017 4511311.69942875)",160,2015
"POINT (584605.737879947 4509175.78450983)",161,2013
"POINT (584605.737879947 4509175.78450983)",161,2014
"POINT (584605.737879947 4509175.78450983)",161,2015
"POINT (584605.737879947 4509175.78450983)",161,2016
"POINT (584605.737879947 4509175.78450983)",161,2017
"POINT (584605.737879947 4509175.78450983)",161,2018
"POINT (586920.09951753 4511873.8356555)",164,2013
"POINT (586920.09951753 4511873.8356555)",164,2014
"POINT (586920.09951753 4511873.8356555)",164,2015
"POINT (586920.09951753 4511873.8356555)",164,2016
"POINT (586920.09951753 4511873.8356555)",164,2017
"POINT (586920.09951753 4511873.8356555)",164,2018
"POINT (586442.53778498 4511387.47846186)",167,2013
"POINT (586442.53778498 4511387.47846186)",167,2014
"POINT (586442.53778498 4511387.47846186)",167,2015
"POINT (586442.53778498 4511387.47846186)",167,2016
"POINT (586442.53778498 4511387.47846186)",167,2017
"POINT (586442.53778498 4511387.47846186)",167,2018
"POINT (584891.129718153 4510349.51944573)",168,2013
"POINT (584891.129718153 4510349.51944573)",168,2014
"POINT (584891.129718153 4510349.51944573)",168,2015
"POINT (584891.129718153 4510349.51944573)",168,2016
"POINT (584891.129718153 4510349.51944573)",168,2017
"POINT (584891.129718153 4510349.51944573)",168,2018
"POINT (585711.634274724 4512687.12564173)",173,2013
"POINT (585720.1809162 4512683.17435296)",173,2014
"POINT (585720.1809162 4512683.17435296)",173,2015
"POINT (585711.634274724 4512687.12564173)",173,2016
"POINT (585711.634274724 4512687.12564173)",173,2017
"POINT (585711.634274724 4512687.12564173)",173,2018
"POINT (586343.467107826 4510195.70949051)",174,2013
"POINT (586343.467107826 4510195.70949051)",174,2014
"POINT (586343.467107826 4510195.70949051)",174,2015
"POINT (586343.467107826 4510195.70949051)",174,2016
"POINT (586343.467107826 4510195.70949051)",174,2017
"POINT (586343.467107826 4510195.70949051)",174,2018
"POINT (583589.54089919 4506931.18672383)",195,2013
"POINT (583589.54089919 4506931.18672383)",195,2014
"POINT (583589.54089919 4506931.18672383)",195,2015
"POINT (583589.54089919 4506931.18672383)",195,2016
"POINT (583589.54089919 4506931.18672383)",195,2017
"POINT (583589.54089919 4506931.18672383)",195,2018
"POINT (583851.959118498 4510741.40100287)",212,2013
"POINT (583851.959118498 4510741.40100287)",212,2014
"POINT (583851.959118498 4510741.40100287)",212,2015
"POINT (583851.959118498 4510741.40100287)",212,2016
"POINT (583851.959118498 4510741.40100287)",212,2017
"POINT (583851.959118498 4510741.40100287)",212,2018
"POINT (584863.687968868 4505982.25990173)",216,2013
"POINT (584863.687968868 4505982.25990173)",216,2014
"POINT (584863.687968868 4505982.25990173)",216,2015
"POINT (584863.687968868 4505982.25990173)",216,2016
"POINT (584863.687968868 4505982.25990173)",216,2017
"POINT (584863.687968868 4505982.25990173)",216,2018
"POINT (584999.581720147 4506249.479036)",217,2013
"POINT (584999.581720147 4506249.479036)",217,2014
"POINT (584999.581720147 4506249.479036)",217,2015
"POINT (584999.581720147 4506249.479036)",217,2016
"POINT (584999.581720147 4506249.479036)",217,2017
"POINT (584999.581720147 4506249.479036)",217,2018
"POINT (585587.070960577 4504869.88707142)",218,2013
"POINT (585587.070960577 4504869.88707142)",218,2014
"POINT (585587.070960577 4504869.88707142)",218,2015
"POINT (584439.061682666 4510133.64573934)",223,2013
"POINT (584439.061682666 4510133.64573934)",223,2014
"POINT (584439.061682666 4510133.64573934)",223,2015
"POINT (584439.061682666 4510133.64573934)",223,2016
"POINT (584439.061682666 4510133.64573934)",223,2017
"POINT (584439.061682666 4510133.64573934)",223,2018
"POINT (584001.235630706 4507203.10840851)",224,2013
"POINT (584001.235630706 4507203.10840851)",224,2014
"POINT (584001.235630706 4507203.10840851)",224,2015
"POINT (584001.235630706 4507203.10840851)",224,2016
"POINT (584001.235630706 4507203.10840851)",224,2017
"POINT (583751.334443476 4510585.05884543)",225,2013
"POINT (583751.334443476 4510585.05884543)",225,2014
"POINT (583751.334443476 4510585.05884543)",225,2015
"POINT (583751.334443476 4510585.05884543)",225,2016
"POINT (586787.161102175 4512024.39173053)",228,2013
"POINT (586787.161102175 4512024.39173053)",228,2014
"POINT (586787.160683483 4512024.39143697)",228,2015
"POINT (586787.161102175 4512024.39173053)",228,2016
"POINT (586787.161102175 4512024.39173053)",228,2017
"POINT (586787.161102175 4512024.39173053)",228,2018
"POINT (584972.085912269 4508987.23851073)",229,2013
"POINT (584972.085912269 4508987.23851073)",229,2014
"POINT (584972.085912269 4508987.23851073)",229,2015
"POINT (584972.085912269 4508987.23851073)",229,2016
"POINT (584972.085912269 4508987.23851073)",229,2017
"POINT (584972.085912269 4508987.23851073)",229,2018
"POINT (585319.740938315 4505498.79198468)",232,2013
"POINT (585319.740938315 4505498.79198468)",232,2014
"POINT (585319.740938315 4505498.79198468)",232,2015
"POINT (585319.740938315 4505498.79198468)",232,2016
"POINT (585319.740938315 4505498.79198468)",232,2017
"POINT (585319.740938315 4505498.79198468)",232,2018
"POINT (585289.320069464 4505363.01732117)",233,2013
"POINT (585367.299734033 4505109.204715)",233,2014
"POINT (585289.32019524 4505363.01691864)",233,2015
"POINT (585289.320069464 4505363.01732117)",233,2016
"POINT (585532.46959724 4509102.96775668)",236,2013
"POINT (585532.46959724 4509102.96775668)",236,2014
"POINT (585532.46959724 4509102.96775668)",236,2015
"POINT (585532.46959724 4509102.96775668)",236,2016
"POINT (585532.46959724 4509102.96775668)",236,2017
"POINT (585532.46959724 4509102.96775668)",236,2018
"POINT (585564.949346726 4509331.43539119)",237,2013
"POINT (585564.949346726 4509331.43539119)",237,2014
"POINT (585564.949346726 4509331.43539119)",237,2015
"POINT (585564.949346726 4509331.43539119)",237,2016
"POINT (585564.949346726 4509331.43539119)",237,2017
"POINT (585564.949346726 4509331.43539119)",237,2018
"POINT (583711.103952905 4509945.71338502)",238,2013
"POINT (583711.103952905 4509945.71338502)",238,2014
"POINT (583711.103952905 4509945.71338502)",238,2015
"POINT (583711.103952905 4509945.71338502)",238,2016
"POINT (583711.103952905 4509945.71338502)",238,2017
"POINT (583711.103952905 4509945.71338502)",238,2018
"POINT (586072.385787918 4505062.15600936)",239,2013
"POINT (586072.385787918 4505062.15600936)",239,2014
"POINT (586072.385787918 4505062.15600936)",239,2015
"POINT (586072.385787918 4505062.15600936)",239,2016
"POINT (586072.385787918 4505062.15600936)",239,2017
"POINT (586072.385787918 4505062.15600936)",239,2018
"POINT (586613.452784522 4504829.16316765)",241,2013
"POINT (586613.452784522 4504829.16316765)",241,2014
"POINT (586613.452784522 4504829.16316765)",241,2015
"POINT (586613.452784522 4504829.16316765)",241,2016
"POINT (586613.452784522 4504829.16316765)",241,2017
"POINT (586613.452784522 4504829.16316765)",241,2018
"POINT (586704.101878743 4505715.80020085)",242,2013
"POINT (586723.635067456 4505726.74085751)",242,2014
"POINT (586723.635067456 4505726.74085751)",242,2015
"POINT (586704.101878743 4505715.80020085)",242,2016
"POINT (586704.101878743 4505715.80020085)",242,2017
"POINT (586704.101878743 4505715.80020085)",242,2018
"POINT (586239.418755719 4504648.91299055)",243,2013
"POINT (586239.418755719 4504648.91299055)",243,2014
"POINT (586239.418755719 4504648.91299055)",243,2015
"POINT (586239.418755719 4504648.91299055)",243,2016
"POINT (586239.418755719 4504648.91299055)",243,2017
"POINT (586239.418755719 4504648.91299055)",243,2018
"POINT (587418.658737871 4505077.29646966)",244,2013
"POINT (587418.658737871 4505077.29646966)",244,2014
"POINT (587418.658737871 4505077.29646966)",244,2015
"POINT (587418.658737871 4505077.29646966)",244,2016
"POINT (587418.658737871 4505077.29646966)",244,2017
"POINT (587418.658737871 4505077.29646966)",244,2018
"POINT (586430.902416399 4505211.1505862)",245,2013
"POINT (586430.902416399 4505211.1505862)",245,2014
"POINT (586430.902416399 4505211.1505862)",245,2015
"POINT (586430.902416399 4505211.1505862)",245,2016
"POINT (586430.902416399 4505211.1505862)",245,2017
"POINT (586430.902416399 4505211.1505862)",245,2018
"POINT (584029.748693501 4509855.75889789)",247,2013
"POINT (584029.748693501 4509855.75889789)",247,2014
"POINT (584029.748693501 4509855.75889789)",247,2015
"POINT (584029.748693501 4509855.75889789)",247,2016
"POINT (584029.748693501 4509855.75889789)",247,2017
"POINT (584029.748693501 4509855.75889789)",247,2018
"POINT (583802.919623656 4508354.38741048)",248,2013
"POINT (583802.919623656 4508354.38741048)",248,2014
"POINT (583802.919623656 4508354.38741048)",248,2015
"POINT (583802.919623656 4508354.38741048)",248,2016
"POINT (583802.919623656 4508354.38741048)",248,2017
"POINT (583802.919623656 4508354.38741048)",248,2018
"POINT (583698.491568791 4508004.16786214)",249,2013
"POINT (583698.491568791 4508004.16786214)",249,2014
"POINT (583698.491568791 4508004.16786214)",249,2015
"POINT (583698.491568791 4508004.16786214)",249,2016
"POINT (583698.491568791 4508004.16786214)",249,2017
"POINT (583698.491568791 4508004.16786214)",249,2018
"POINT (584818.432714043 4508666.47739806)",250,2013
"POINT (584818.432714043 4508666.47739806)",250,2014
"POINT (584818.432714043 4508666.47739806)",250,2015
"POINT (584818.432714043 4508666.47739806)",250,2016
"POINT (584892.210003849 4508513.96679892)",251,2013
"POINT (584892.210003849 4508513.96679892)",251,2014
"POINT (584892.210003849 4508513.96679892)",251,2015
"POINT (584892.210003849 4508513.96679892)",251,2016
"POINT (584892.210003849 4508513.96679892)",251,2017
"POINT (584892.210003849 4508513.96679892)",251,2018
"POINT (584566.374956987 4509518.80532656)",252,2013
"POINT (584566.374956987 4509518.80532656)",252,2014
"POINT (584566.374956987 4509518.80532656)",252,2015
"POINT (584566.374956987 4509518.80532656)",252,2016
